time,pyfile,data_shape,random_num,model,model_structure,loss,optimizer,epochs,batch_size,train_second,first_loss,last_loss,test_loss,r2_score,train_ration,total_params
2026-09-08 18:17:33,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 256(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,36,256,608.9216,0.28340157866477966,0.13399672508239746,"[0.24329932034015656, 0.9114833474159241]",0.9114833333333333,0.7,1679617
2026-09-08 18:17:38,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 128(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,37,256,617.4051,0.27796444296836853,0.14428076148033142,"[0.2424035668373108, 0.9112666845321655]",0.9112666666666667,0.7,1548417
2026-09-08 18:17:49,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,36,256,626.3243,0.28308549523353577,0.09359607100486755,"[0.2430134117603302, 0.9113500118255615]",0.91135,0.7,1942017
2026-09-08 18:18:23,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 64(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,38,256,639.6414,0.2787677049636841,0.18741552531719208,"[0.24339309334754944, 0.9118499755859375]",0.91185,0.7,1482817
2026-09-08 18:26:19,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 128(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,31,256,499.2666,0.23083554208278656,0.14678102731704712,"[0.24373455345630646, 0.9105166792869568]",0.9105166666666666,0.7,1548417
2026-09-08 18:26:32,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 256(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,31,256,509.9209,0.2363637536764145,0.12284648418426514,"[0.24300366640090942, 0.9113166928291321]",0.9113166666666667,0.7,1679617
2026-09-08 18:28:01,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,31,256,560.2774,0.23204123973846436,0.08425083756446838,"[0.24642668664455414, 0.9102500081062317]",0.91025,0.7,1942017
2026-09-08 18:28:35,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 64(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,35,256,573.682,0.24528691172599792,0.17949219048023224,"[0.24351106584072113, 0.911300003528595]",0.9113,0.7,1482817
2026-09-08 18:35:30,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 128(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,31,256,501.1885,0.22768384218215942,0.1467655748128891,"[0.2456628978252411, 0.9103666543960571]",0.9103666666666667,0.7,1548417
2026-09-08 18:35:57,multi_repeat_random_model.py,"(140000, 200)",90,sequential,Dense 512(relu) -> 256(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 512(relu) -> 1(sigmoid),binary_crossentropy,adam,32,256,533.3076,0.2293156087398529,0.1139669120311737,"[0.24424006044864655, 0.9115333557128906]",0.9115333333333333,0.7,1679617
